source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.01,ПК-8: проектировать системы с параллельной обработкой да,ПК-8,способностью проектировать системы с параллельной обработкой данных и высокопроизводительные системы и их компоненты,1.0,ПК-8,Научные исследования и методология
ФГОС,09.04.01,ПК-9: разрабатывать и реализовывать планы информатизации,ПК-9,способностью разрабатывать и реализовывать планы информатизации предприятий и их подразделений на основе Web- и CALS-технологий,1.0,ПК-9,Научные исследования и методология
ФГОС,09.04.01,ПК-10: формировать технические задания и участвовать в ра,ПК-10,способностью формировать технические задания и участвовать в разработке аппаратных и (или) программных средств вычислительной техники,1.0,ПК-10,Научные исследования и методология
ФГОС,09.04.01,ПК-11: выбирать методы и разрабатывать алгоритмы решения,ПК-11,способностью выбирать методы и разрабатывать алгоритмы решения задач управления и проектирования объектов автоматизации,1.0,ПК-11,Архитектура и интеграция
ФГОС,09.04.01,ПК-12: к программной реализации распределенных информацио,ПК-12,способностью к программной реализации распределенных информационных систем (ПК- 13); способностью к программной реализации систем с параллельной обработкой данных и высокопроизводительных систем,1.0,ПК-12,Архитектура и интеграция
ФГОС,09.04.01,"ПК-14: к созданию программного обеспечения для анализа, р",ПК-14,"способностью к созданию программного обеспечения для анализа, распознавания и обработки информации, систем цифровой обработки сигналов",1.0,ПК-14,Разработка ПО
ФГОС,09.04.01,ПК-15: к созданию служб сетевых протоколов,ПК-15,способностью к созданию служб сетевых протоколов,1.0,ПК-15,Разработка ПО
ФГОС,09.04.01,ПК-16: к организации промышленного тестирования создаваем,ПК-16,способностью к организации промышленного тестирования создаваемого программного обеспечения,1.0,ПК-16,Инфраструктура и DevOps
ФГОС,09.04.01,ПК-17: к разработке программного обеспечения для создания,ПК-17,способностью к разработке программного обеспечения для создания трехмерных изображений,1.0,ПК-17,Инфраструктура и DevOps
ФГОС,09.04.01,ПК-18: к применению современных технологий разработки про,ПК-18,"способностью к применению современных технологий разработки программных комплексов с использованием CASE-средств, контролировать качество разрабатываемых программных продуктов",1.0,ПК-18,Разработка ПО
ФГОС,02.04.03,ОПК-1: руководить коллективом в сфере своей профессиональ,ОПК-1,"готовностью руководить коллективом в сфере своей профессиональной деятельности, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия",1.0,ОПК-1,Управление и коммуникации
ФГОС,02.04.03,ОПК-2: публично представить собственные и известные научн,ОПК-2,способностью публично представить собственные и известные научные результаты,1.0,ОПК-2,Научные исследования и методология
ФГОС,02.04.03,ОПК-3: теоретическими основами информатики как науки; зна,ОПК-3,"владением теоретическими основами информатики как науки; знание проблем современной информатики, ее категории и связи с другими научными дисциплинами, понимание основных этапов и тенденции развития программирования, математического обеспечения и информационных, технологий",1.0,ОПК-3,Научные исследования и методология
ФГОС,02.04.03,ОПК-4: основными методами и средствами автоматизации прое,ОПК-4,"владением основными методами и средствами автоматизации проектирования, производства, испытаний и оценки качества программного обеспечения",1.0,ОПК-4,Архитектура и интеграция
ФГОС,02.04.03,ОПК-5: основными концептуальными положениями функциональн,ОПК-5,"владением основными концептуальными положениями функционального, рекурсивного, логического, объектно-ориентированного и визуального направлений программирования, методами и средствами разработки программ в рамках этих направлений",1.0,ОПК-5,Разработка ПО
ФГОС,02.04.03,"ОПК-6: архитектурой, алгоритмами функционирования систем",ОПК-6,"владением архитектурой, алгоритмами функционирования систем реального времени и методами проектирования их программного обеспечения",1.0,ОПК-6,Архитектура и интеграция
ФГОС,02.04.03,ОПК-7: навыками использования современных системных прогр,ОПК-7,"владением навыками использования современных системных программных средств: операционных систем, операционных и сетевых оболочек, сервисных программ",1.0,ОПК-7,Инфраструктура и DevOps
ФГОС,02.04.03,ОПК-8: навыками разработки моделирующих алгоритмов и реал,ОПК-8,владением навыками разработки моделирующих алгоритмов и реализации их на базе языков и пакетов прикладных программ моделирования,1.0,ОПК-8,Научные исследования и методология
ФГОС,02.04.03,ОПК-9: навыками использования основных моделей информацио,ОПК-9,владением навыками использования основных моделей информационных технологий и способов их применения для решения задач в предметных областях,1.0,ОПК-9,Анализ и системное проектирование
ФГОС,02.04.03,ОПК-10: навыками выбора архитектуры и комплексирования сов,ОПК-10,"владением навыками выбора архитектуры и комплексирования современных компьютеров, систем, комплексов и сетей системного администрирования",1.0,ОПК-10,Архитектура и интеграция
ФГОС,02.04.03,"ОПК-11: навыками выбора, проектирования, реализации, оценк",ОПК-11,"владением навыками выбора, проектирования, реализации, оценки качества и анализа эффективности программного обеспечения для решения задач в различных предметных областях",1.0,ОПК-11,Архитектура и интеграция
ФГОС,02.04.03,ПК-1: навыками использования метода системного моделиров,ПК-1,владением навыками использования метода системного моделирования при исследовании и проектировании систем,1.0,ПК-1,Разработка ПО
ФГОС,02.04.03,ПК-2: применять современные методы проектирования и прои,ПК-2,"готовностью применять современные методы проектирования и производства программного продукта, принципы построения, структуры и приемы работы с инструментальными средствами, поддерживающими создание программного обеспечения",1.0,ПК-2,Разработка ПО
ФГОС,02.04.03,ПК-3: организовать работу в коллективе разработчиков про,ПК-3,"готовностью организовать работу в коллективе разработчиков программного обеспечения, на основе современных направлений развития методов и программных средств коллективной разработки программного обеспечения",1.0,ПК-3,Архитектура и интеграция
ФГОС,02.04.03,ПК-4: понимать проблемы и оценивать тенденции развития р,ПК-4,способностью понимать проблемы и оценивать тенденции развития рынка программного обеспечения,1.0,ПК-4,Управление проектами и процессами
ФГОС,02.04.03,ПК-5: воспринимать и проводить анализ направлений развит,ПК-5,"готовностью воспринимать и проводить анализ направлений развития компьютеров с традиционной (нетрадиционной) архитектурой, воспринимать тенденции развития функций и архитектур проблемно-ориентированных программных систем и комплексов (ПК 6); владением принципами обеспечения условий безопасности и жизнедеятельности при разработке и эксплуатации аппаратуры и систем различного назначения",1.0,ПК-5,Управление проектами и процессами
ФГОС,02.04.03,ПК-7: навыками преподавания компьютерных наук,ПК-7,владением навыками преподавания компьютерных наук,1.0,ПК-7,Данные и базы данных
ФГОС,02.04.03,ПК-8: навыками разработки методических материалов для пр,ПК-8,владением навыками разработки методических материалов для преподавания компьютерных наук,1.0,ПК-8,Научные исследования и методология
Профстандарт,Системный программист,6.028,6.028,Разработка драйверов устройств,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Разработка компиляторов,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Разработка системных утилит,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Создание инструментальных средств,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Разработка компонентов системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Отладка разрабатываемой системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Документирование разработанной системы управления базами данных,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Сопровождение созданной системы управления базами данных,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Формирование требований к операционной системе,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Разработка архитектуры операционной системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Написание компонентов операционной системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Контроль соблюдения архитектуры в процессе написания операционной системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Отладка разрабатываемых компонентов операционной системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Документирование разрабатываемой операционной системы,6.028,Программирование,
Профстандарт,Системный программист,6.028,6.028,Сопровождение созданной операционной системы,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Планирование разработки системного программного обеспечения,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Формирование группы программистов для разработки системного программного обеспечения,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Организация работы программистов в группе по разработке системного программного обеспечения,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Контроль деятельности рабочей группы программистов по разработке системного программного обеспечения,1.0,6.028,Разработка ПО
Профстандарт,Системный программист,6.028,6.028,Предоставление заказчику результатов разработки системного программного обеспечения,1.0,6.028,Разработка ПО
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Выявление и согласование требований к программной системе с точки зрения архитектуры,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Выбор и моделирование архитектурного решения для реализации программной системы,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Разработка разделов по архитектуре проектных и эксплуатационных документов программной системы,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Контроль реализации и испытаний программной системы с точки зрения архитектуры,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Сопровождение эксплуатации; программной системы с точки зрения архитектурыой функции,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Создание и согласование требований к интегрированному программному обеспечению с точки зрения архитектуры,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Выбор и моделирование архитектурных решений для реализации интегрированного программного обеспечения,1.0,6.003,Архитектура и интеграция
Профстандарт,Архитектор программного обеспечения,6.003,6.003,Разработка и модернизация разделов по архитектуре и интеграции проектных и эксплуатационных документов интегрированного программного обеспечения,1.0,6.003,Архитектура и интеграция
