source,direction,category,code,description,count,normalized_code
Профстандарт,Архитектор программного обеспечения,Управление архитектурой изолированной,6.003,Трудовая функция: Сопровождение эксплуатации; Уровень; Наименование программной системы с точки зрения Код A/05.6 6; квалификации; архитектуры; Происхождение обобщенной Заимствовано из; Оригинал X 67; трудовой функции ,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой интегрированного,6.003,Трудовая функция: Создание и согласование требований к; интегрированному программному Уровень; Наименование Код B/01.6 6; обеспечению с точки зрения квалификации; архитектуры; Происхождение обобщенной Заимствовано из; ,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой интегрированного,6.003,Трудовая функция: Выбор и моделирование архитектурных; решений для реализации Уровень; Наименование Код B/02.6 6; интегрированного программного квалификации; обеспечения; Происхождение обобщенной Заимствовано из; Ориги,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой интегрированного,6.003,Трудовая функция: Разработка и модернизация разделов по; архитектуре и интеграции проектных и; Уровень; Наименование эксплуатационных документов Код B/03.6 6; квалификации; интегрированного программного; обеспечения; П,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой интегрированного,6.003,Трудовая функция: Наименование Контроль реализации и испытаний Код B/04.6 Уровень 6; интегрированного программного; обеспечения с точки зрения квалификации; архитектуры; Происхождение обобщенной Заимствовано из; Оригин,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой интегрированного,6.003,Трудовая функция: Сопровождение эксплуатации; интегрированного программного Уровень; Наименование Код B/05.6 6; обеспечения с точки зрения квалификации; архитектуры; Происхождение обобщенной Заимствовано из; Оригинал X,1,6.003
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Сбор исходных данных для; проектирования Системы из; Уровень; Наименование установленных при обследовании Код A/01.4 4; квалификации; текущей ситуации источников; информации; Происхождение обобщенной ,1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,"Трудовая функция: Изучение и описание деятельности,; Уровень; Наименование подлежащей автоматизации, и работы Код A/02.4 4; квалификации; пользователей в системах-аналогах; Происхождение обобщенной Заимствовано из; Ори",1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Изучение и описание устройства и Уровень; Наименование Код A/03.4 4; работы систем-аналогов квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 233; трудовой функции оригинала; Код Реги,1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Извлечение и описание образцов; Уровень; Наименование данных и агрегированных значений из Код A/04.4 4; квалификации; систем-аналогов; Происхождение обобщенной Заимствовано из; Оригинал X 233; трудово,1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,"Трудовая функция: Оформление проектной и; эксплуатационной документации в; Уровень; Наименование рамках обследования текущей Код A/05.4 4; квалификации; ситуации, проектирования и сдачи-; приемки Системы; Происхождение",1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,"Трудовая функция: Постановка задачи на приобретение,; разработку, доработку или интеграцию Уровень; Наименование Код A/06.4 4; элемента поставки, разработка квалификации; требований к нему; Происхождение обобщенной Заи",1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Сопровождение разработанных Уровень; Наименование Код A/07.4 4; требований и проектных решений квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 233; трудовой функции оригинала; Код Р,1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Выполнение предварительных; испытаний разработанного или; Уровень; Наименование интегрированного элемента поставки на Код A/08.4 4; квалификации; соответствие разработанным; требованиям к нему; Происх,1,6.022
Профстандарт,Системный аналитик,Техническое сопровождение проектирования Системы,6.022,Трудовая функция: Разработка эксплуатационной; документации по Системе в рамках Уровень; Наименование Код A/09.4 4; надзора за реализацией требований к квалификации; элементу поставки; Происхождение обобщенной Заимство,1,6.022
Профстандарт,Системный аналитик,Техническое проектирование Системы и сопровождение,6.022,"Трудовая функция: Выделение и систематизация; установленных фактов, требований и; проектных решений, открытых; вопросов и противоречий на основе Уровень; Наименование Код B/01.5 5; изучения и анализа собранных квалифик",1,6.022
Профстандарт,Системный аналитик,Техническое проектирование Системы и сопровождение,6.022,Трудовая функция: Уровень; Наименование Логическое проектирование Системы Код B/02.5 5; квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 233; трудовой функции оригинала; Код Регистрационный номер; ори,1,6.022
